Time | Topic | Speaker/ Moderator | Panelists
10.20-10.50 (25+5) | LECTURE: Paradigm shift in the Management of Thalassaemia- from Supportive Care to Curative Options  | Dr Leslie Lehmann | 
10.50-11.30 | CASE BASED PANEL DISCUSSION: Stem cell Transplant in Thalassaemia- Challenges in India and Opportunities | Dr Rajat Bhattacharyya | Dr Amita Mahajan Dr Ramya Uppuluri Dr Niharendu Ghara Dr Leslie Lehmann
11.30-11.50 (20) | Evolving Indications of CAR T-cell therapy from Malignant to Benign Haematological Diseases | Dr Rajat Bhattacharyya | 
11:50-12:30 | DR PRATHAP C. REDDY ORATION  | Orator: Dr Y K Amdekar | 
12.30 -13.20 | INAUGURATION & FELICITATION  Key note address: Dr Anupam Sibal - FINDING THE LEADER WITHIN | INAUGURATION & FELICITATION  Key note address: Dr Anupam Sibal - FINDING THE LEADER WITHIN | INAUGURATION & FELICITATION  Key note address: Dr Anupam Sibal - FINDING THE LEADER WITHIN
13:20-14:00 | LUNCH | LUNCH | LUNCH
14.00-14.30 | Selected Award Paper Presentation: 3 | Selected Award Paper Presentation: 3 | Selected Award Paper Presentation: 3
14:30-15:30 | SUBSPECIALITY SYMPOSIUM 4:  ENDOCRINOLOGY | SUBSPECIALITY SYMPOSIUM 4:  ENDOCRINOLOGY | SUBSPECIALITY SYMPOSIUM 4:  ENDOCRINOLOGY
14:30-15:00 (25+5) | LECTURE 1:  Pediatric Growth: A fascinating journey | Dr Subrata Dey | 
15.00-15:30 (25+5) | LECTURE 2: State of the art management of type I Diabetes Mellitus: Current status of AID systems and future frontiers | Dr Abhishek Kulkarni | 
15:30-16.40 | SUBSPECIALITY SYMPOSIUM 5:  PEDIATRIC SURGERY | SUBSPECIALITY SYMPOSIUM 5:  PEDIATRIC SURGERY | SUBSPECIALITY SYMPOSIUM 5:  PEDIATRIC SURGERY
15:30-16.05 (10+15+10) | Urodynamics in Complicated UTIs | Dr. Sanghamitra Bhattacharya | Expert: Dr. V Sripathi    Dr. Biswanath Mukhopadhyay Dr Sujit Chowdhury
15:30-16.05 (10+15+10) | Case studies in Urodynamics | Dr. V Sripathi | Expert: Dr. V Sripathi    Dr. Biswanath Mukhopadhyay Dr Sujit Chowdhury
15:30-16.05 (10+15+10) | Precision and preparedness: Navigating complex pediatric injuries in a specialized care setting | Dr Vaishali Ray Srivastava | Expert: Dr. V Sripathi    Dr. Biswanath Mukhopadhyay Dr Sujit Chowdhury
